,nconst,Catégorie,primaryName
7825,nm0000291,Réalisateur,Angela Bassett
7827,nm0000292,Acteur,Michelle Bauer
7830,nm0000293,Acteur,Sean Bean
7863,nm0000294,Acteur,Amanda Bearse
7864,nm0000295,Acteur,Kate Beckinsale
7899,nm0000296,Acteur,Robert Beltran
7903,nm0000297,Acteur,Tom Berenger
7937,nm0000298,Acteur,Candice Bergen
7959,nm0000299,Acteur,Michael Biehn
7985,nm0000300,Acteur,Juliette Binoche
8025,nm0000301,Acteur,Thora Birch
8041,nm0000302,Acteur,Jacqueline Bisset
8066,nm0000303,Acteur,Honor Blackman
8074,nm0000304,Acteur,Linda Blair
8089,nm0000305,Acteur,Mel Blanc
8100,nm0000306,Acteur,Brian Blessed
8107,nm0000307,Acteur,Helena Bonham Carter
8145,nm0000308,Acteur,Ernest Borgnine
8186,nm0000309,Acteur,David Bowie
8194,nm0000309,Compositeur,David Bowie
8195,nm0000310,Acteur,Bruce Boxleitner
8208,nm0000311,Acteur,Annie Rosar
8209,nm0000312,Acteur,Amy Brenneman
8218,nm0000313,Acteur,Jeff Bridges
8277,nm0000314,Acteur,Charles Bronson
8322,nm0000316,Réalisateur,Mel Brooks
8323,nm0000316,Acteur,Mel Brooks
8335,nm0000317,Acteur,Clancy Brown
8350,nm0000318,Réalisateur,Tim Burton
8355,nm0000318,Producteur,Tim Burton
8375,nm0000319,Acteur,Yancy Butler
8385,nm0000320,Réalisateur,Luis Buñuel
8406,nm0000321,Acteur,Gabriel Byrne
8448,nm0000322,Acteur,Emmanuelle Béart
8472,nm0000323,Acteur,Michael Caine
8558,nm0000324,Acteur,Barbara Carrera
8566,nm0000325,Acteur,David Caruso
8576,nm0000326,Acteur,Kim Cattrall
8595,nm0000327,Acteur,Lacey Chabert
8619,nm0000328,Acteur,Richard Chamberlain
8634,nm0000329,Acteur,Jackie Chan
8653,nm0000330,Acteur,Stockard Channing
8675,nm0000331,Acteur,Chevy Chase
8699,nm0000332,Acteur,Don Cheadle
8724,nm0000333,Acteur,Cher
8732,nm0000333,Réalisateur,Cher
8736,nm0000334,Acteur,Chow Yun-Fat
8742,nm0000335,Acteur,Glenn Close
8777,nm0000336,Acteur,James Coburn
8815,nm0000337,Acteur,Rachael Leigh Cook
8836,nm0000338,Réalisateur,Francis Ford Coppola
8842,nm0000338,Producteur,Francis Ford Coppola
8865,nm0000339,Réalisateur,Roger Corman
8886,nm0000339,Producteur,Roger Corman
8931,nm0000340,Acteur,Cindy Crawford
8932,nm0000341,Réalisateur,Michael Crichton
8939,nm0000342,Acteur,James Cromwell
8955,nm0000343,Réalisateur,David Cronenberg
8965,nm0000343,Acteur,David Cronenberg
8977,nm0000344,Acteur,Denise Crosby
8982,nm0000345,Acteur,Billy Crystal
8996,nm0000345,Réalisateur,Billy Crystal
9001,nm0000346,Acteur,Macaulay Culkin
9012,nm0000347,Acteur,Tim Curry
9032,nm0000348,Acteur,Tony Curtis
9073,nm0000349,Acteur,Joan Cusack
9100,nm0000350,Acteur,Beverly D'Angelo
9118,nm0000352,Acteur,Vincent D'Onofrio
9154,nm0000353,Acteur,Willem Dafoe
9207,nm0000354,Acteur,Matt Damon
9221,nm0000354,Producteur,Matt Damon
9249,nm0000355,Acteur,Anthony Daniels
9250,nm0000356,Acteur,Sybil Danning
9261,nm0000357,Acteur,Lolita Davidovich
9277,nm0000358,Acteur,Daniel Day-Lewis
9292,nm0000359,Acteur,Olivier De Funès
9294,nm0000360,Acteur,Rebecca De Mornay
9312,nm0000361,Réalisateur,Brian De Palma
9341,nm0000362,Acteur,Danny DeVito
9357,nm0000362,Producteur,Danny DeVito
9376,nm0000362,Réalisateur,Danny DeVito
9395,nm0000363,Acteur,Loren Dean
9399,nm0000364,Acteur,Sandra Dee
9412,nm0000365,Acteur,Julie Delpy
9432,nm0000366,Acteur,Catherine Deneuve
9488,nm0000367,Acteur,Gérard Depardieu
9577,nm0000368,Acteur,Laura Dern
9601,nm0000368,Réalisateur,Laura Dern
9606,nm0000369,Acteur,Matt Dillon
9642,nm0000371,Acteur,Ami Dolenz
9649,nm0000372,Acteur,Amanda Donohoe
9656,nm0000373,Acteur,Michael Dorn
9657,nm0000374,Acteur,Brad Dourif
9683,nm0000375,Acteur,Robert Downey Jr.
9724,nm0000376,Acteur,Fran Drescher
9728,nm0000377,Acteur,Richard Dreyfuss
9762,nm0000378,Acteur,Minnie Driver
9778,nm0000379,Acteur,Kirsten Dunst
9810,nm0000380,Acteur,Robert Duvall
9863,nm0000380,Producteur,Robert Duvall
9868,nm0000381,Acteur,Anthony Edwards
9879,nm0000381,Producteur,Anthony Edwards
9885,nm0000382,Réalisateur,Atom Egoyan
9889,nm0000382,Acteur,Atom Egoyan
